Slice,Count,Total Area,Average Size,%Area,Mean,,Coupon
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m01_DAPI.tif,2355,2.219,9.42E-04,13.859,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m02_DAPI.tif,2452,2.334,9.52E-04,14.583,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m03_DAPI.tif,2573,2.234,8.68E-04,13.953,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m04_DAPI.tif,2483,2.877,0.001,17.973,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m05_DAPI.tif,2761,2.414,8.75E-04,15.082,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m06_DAPI.tif,2592,2.121,8.19E-04,13.252,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m07_DAPI.tif,2657,1.93,7.26E-04,12.056,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m08_DAPI.tif,2318,1.77,7.63E-04,11.054,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m09_DAPI.tif,2958,1.984,6.71E-04,12.394,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m10_DAPI.tif,2724,1.798,6.60E-04,11.234,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m11_DAPI.tif,2609,2.315,8.87E-04,14.459,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m12_DAPI.tif,2496,2.9,0.001,18.117,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m13_DAPI.tif,2390,2.042,8.55E-04,12.758,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m14_DAPI.tif,2578,1.543,5.99E-04,9.641,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m15_DAPI.tif,2220,1.726,7.77E-04,10.781,255,,46
Experimento-133-Profundidad de enfoque extendida-20-Exportar imagen-01_m16_DAPI.tif,2530,1.836,7.26E-04,11.467,255,,46
Experimento-134-Profundidad de enfoque extendida-16-Exportar imagen-02_m01_DAPI.tif,2669,1.645,6.16E-04,10.277,255,,46
Experimento-134-Profundidad de enfoque extendida-16-Exportar imagen-02_m02_DAPI.tif,2800,1.342,4.79E-04,8.385,255,,46
Experimento-134-Profundidad de enfoque extendida-16-Exportar imagen-02_m03_DAPI.tif,2760,1.705,6.18E-04,10.652,255,,46
